age,exposure,region,segment,y
43.04717079754431,1.0441442604766813,east,B,0.0
29.600158937595044,1.9136096539492315,east,B,0.5225726145017296
47.50451195806457,0.8828033003385746,west,B,4.531020668438725
49.405647163912136,1.752441793262524,east,A,2.853161810693576
20.489648113461637,1.8452834424690816,west,A,0.0
26.97820493137682,1.6038083832992986,south,A,0.6235158828281188
41.278404031672856,0.8220159168341962,east,B,2.433042911994377
36.83757407656418,0.890553602549703,north,B,1.1228970352115202
39.83198842495711,1.9566767982046132,north,A,2.044282430123502
31.4695607242642,0.6137435991817157,east,A,0.0
48.79397974862829,0.6756288608061891,south,A,4.440307651186292
47.77791935428948,1.9678546015670348,east,A,2.5408381269726017
40.66030697561216,1.66534216128608,west,B,1.2009544023406438
51.27241206968033,1.6195757765903163,west,B,4.939565110588623
44.675093422520455,0.7403116417185505,south,B,2.701564972498912
31.40707537116762,1.2334082472896286,east,B,1.6215231286112526
43.68750784082499,1.7611439037268428,west,B,2.839063854702194
30.41117399171001,0.993306051813834,north,A,0.0
48.78450301307272,0.7891476986216157,east,B,5.068759633952806
39.50074089013747,0.5164179766521995,east,B,3.872831873447684
38.151376364547396,1.4338137272911415,east,A,0.6974406653849438
33.190704555960586,0.9407154654226917,south,B,0.0
52.2254133867403,1.7955086403178109,south,B,7.24028818803064
38.45470517931198,0.9252771301393103,east,B,1.0807572860354167
35.71672177836893,0.727363718276755,south,A,0.0
36.478664495117705,1.940671268006477,south,B,2.5764281063099204
45.32309185553349,1.9471655183817642,west,A,0.5135670237377008
43.65444064364078,1.52753574252911,west,A,2.618596664309328
44.12732611595988,1.8925785538944067,east,A,1.0567593064417589
44.308210030078826,0.7427503718731742,north,B,2.6926947137786197
61.41647600870461,1.1905112899554413,east,A,12.59962851806422
35.93584983615384,0.8062383364464172,north,B,1.240328020629245
34.87757270928463,1.2181748872925438,north,A,0.0
31.862272717521222,1.6867669981202085,north,A,1.1857002195495105
46.15979422575496,1.7673917705000952,north,A,0.5658055088244772
51.28972292720891,0.5062465914015499,west,B,5.925965825655167
38.86052542345125,1.0842550950497936,east,B,0.9222921843443823
31.59843523037472,1.9911030306687134,east,B,3.0134050863178565
31.755187843087604,1.3839724427225526,west,A,2.167673219055139
46.50592787824701,0.9442938945469277,south,B,0.0
47.43254171203442,1.0834913900626444,north,B,2.768826801500055
45.43154268305195,0.9838456199506893,north,B,4.065678515904234
33.344902927113054,1.1713976450456516,north,B,1.7073621485059893
42.3216132306672,1.1667299503874533,north,A,1.7141927310050027
41.166858091407285,1.2602949577961953,east,A,2.380395145947363
42.18688596729013,1.196759010788485,east,A,1.671180230915746
48.7142877794819,1.2741705274347261,south,B,5.493770142441628
42.23595548774682,0.5419834254877745,east,A,3.6901497461846535
46.789135630718945,0.5816403447158649,north,A,3.438551018975503
40.67579069488892,1.0567159598119666,east,A,0.9463280938597173
42.89119398689984,1.8274123463629521,east,A,1.0944437384263843
46.3128822583854,1.6862484551023762,east,A,1.1860648375678275
25.428441801443334,0.6652304628673458,east,A,0.0
36.80328783642699,1.242246438115022,west,B,0.0
35.29627345707205,1.4068809064672345,north,A,0.7107922180215397
